-1269.33 2.67219
-1251.49 2.76416
-1588.21 3.03822
-1349.74 2.9035
-833.1 2.96849
-1256.92 2.85009
-1391.91 3.05462
-1028.91 2.74055
-1164.02 2.93801
-988.395 2.71929
-1200.55 2.9598
-1412.96 2.89667
-719.697 2.68226
-1009.97 2.82099
-1184.84 3.16058
-867.687 2.78521
-814.228 2.67894
-836.078 2.7131
-1045 2.79903
-765.542 2.8728
-1219.68 2.88461
-3055.97 3.76051
-486.871 2.45724
-1553.56 3.00815
-1225.19 2.9013
-1497.09 3.17615
-1591.97 3.16116
-1364.11 2.77734
-1133.05 2.98419
-1336.39 3.17063
