1.38812  -557.263
1.2845  -549.981
1.36909  -735.566
1.18806  -551.452
1.20656  -322.062
1.156  -486.764
1.23367  -589.264
0.790455  -310.007
1.25004  -499.68
1.16461  -412.108
1.14805  -490.567
1.53048  -746.586
1.18351  -315.359
1.10186  -376.422
1.02092  -403.521
1.13032  -368.069
1.17701  -322.476
1.14341  -332.695
1.07957  -407.065
1.19035  -330.968
1.07824  -503.819
1.14971  -549.366
1.09476  -174.993
1.32901  -651.998
1.03808  -430.507
1.27971  -588.68
1.15712  -565.284
2.57067  -1261.57
1.17265  -436.057
1.24184  -545.038
